"Activity1","Activity2","Activity3","Duration","Next_Activity"
"CODE OK","RELEASE","CODE OK",307556,1
"NEW","FIN","RELEASE",133525,6
"FIN","RELEASE","CODE OK",74419,1
"NEW","CHANGE DIAGN","FIN",127408,13
"CHANGE DIAGN","FIN","RELEASE",33925,6
"FIN","RELEASE","CODE OK",93599,1
"NEW","FIN","RELEASE",515035,6
"FIN","RELEASE","CODE OK",24635,1
"NEW","CHANGE DIAGN","FIN",131124,13
"CHANGE DIAGN","FIN","RELEASE",106174,6
"FIN","RELEASE","CODE OK",108194,1
"NEW","CHANGE DIAGN","FIN",66650,13
"CHANGE DIAGN","FIN","RELEASE",69574,6
"FIN","RELEASE","CODE OK",173083,1
"NEW","CHANGE DIAGN","FIN",133433,13
"CHANGE DIAGN","FIN","RELEASE",143508,6
"FIN","RELEASE","CODE OK",86056,1
"NEW","CHANGE DIAGN","FIN",139109,13
"CHANGE DIAGN","FIN","RELEASE",90601,6
"FIN","RELEASE","CODE OK",-172128,1
"NEW","CHANGE DIAGN","FIN",128715,13
"CHANGE DIAGN","FIN","RELEASE",137428,6
"FIN","RELEASE","CODE OK",92272,1
"NEW","FIN","RELEASE",-547260,6
"FIN","RELEASE","CODE OK",-544991,1
"NEW","CHANGE DIAGN","FIN",145522,13
"CHANGE DIAGN","FIN","RELEASE",-50033,6
"FIN","RELEASE","CODE OK",-57383,1
"NEW","FIN","RELEASE",108173,6
"FIN","RELEASE","CODE OK",-133042,1
"NEW","CHANGE DIAGN","FIN",137506,13
"CHANGE DIAGN","FIN","RELEASE",89238,6
"FIN","RELEASE","CODE OK",-151738,1
"NEW","CHANGE DIAGN","FIN",137525,13
"CHANGE DIAGN","FIN","RELEASE",105463,6
"FIN","RELEASE","CODE OK",-144631,1
"NEW","FIN","RELEASE",13739,1
"NEW","CHANGE DIAGN","FIN",-2909,13
"CHANGE DIAGN","FIN","RELEASE",-2909,6
"FIN","RELEASE","CODE OK",-974,1
"NEW","CHANGE DIAGN","FIN",-92025,13
"CHANGE DIAGN","FIN","RELEASE",130116,6
"FIN","RELEASE","CODE OK",137329,1
"NEW","CHANGE DIAGN","FIN",-205157,13
"CHANGE DIAGN","FIN","RELEASE",63344,6
"FIN","RELEASE","CODE OK",62940,1
"NEW","FIN","RELEASE",-78695,6
"FIN","RELEASE","CODE OK",-159913,1
"NEW","FIN","RELEASE",-30660,6
"FIN","RELEASE","CODE OK",-38947,13
"RELEASE","CODE OK","RELEASE",-214126,6
"CODE OK","RELEASE","CODE OK",-33778,1
"NEW","FIN","RELEASE",-126184,6
"FIN","RELEASE","CODE OK",-136577,1
"NEW","FIN","RELEASE",74848,6
"FIN","RELEASE","CODE OK",-159268,1
"NEW","CHANGE DIAGN","FIN",1047,13
"CHANGE DIAGN","FIN","RELEASE",1078,6
"FIN","RELEASE","CODE OK",46731,1
"NEW","CHANGE DIAGN","FIN",8,13
"CHANGE DIAGN","FIN","RELEASE",8,6
"FIN","RELEASE","CODE OK",-709452,1
"NEW","FIN","RELEASE",-98959,6
"FIN","RELEASE","CODE OK",-106086,1
"NEW","FIN","RELEASE",-118654,6
"FIN","RELEASE","CODE OK",-121697,1
"NEW","FIN","RELEASE",37821,6
"FIN","RELEASE","CODE OK",-101851,1
"NEW","CHANGE DIAGN","FIN",29382,13
"CHANGE DIAGN","FIN","RELEASE",-50075,6
"FIN","RELEASE","CODE OK",-54278,14
"RELEASE","CODE OK","REOPEN",54049,8
"CODE OK","REOPEN","FIN",133497,13
"REOPEN","FIN","RELEASE",139539,6
"FIN","RELEASE","CODE OK",86551,1
"NEW","CHANGE DIAGN","FIN",-47501,13
"CHANGE DIAGN","FIN","RELEASE",50818,6
"FIN","RELEASE","CODE OK",130388,1
"NEW","CHANGE DIAGN","FIN",-33919,13
"CHANGE DIAGN","FIN","RELEASE",133374,6
"FIN","RELEASE","CODE OK",139421,1
"NEW","CHANGE DIAGN","FIN",-102514,13
"CHANGE DIAGN","FIN","RELEASE",133516,6
"FIN","RELEASE","CODE OK",139553,1
"NEW","FIN","RELEASE",-132683,6
"FIN","RELEASE","CODE OK",132344,1
"NEW","CHANGE DIAGN","FIN",-140896,13
"CHANGE DIAGN","FIN","RELEASE",-159716,6
"FIN","RELEASE","CODE OK",61467,1
"NEW","NEW","NEW",-33961,7
"NEW","CHANGE DIAGN","FIN",86480,13
"CHANGE DIAGN","FIN","RELEASE",-178045,6
"FIN","RELEASE","CODE OK",-184019,1
"NEW","FIN","RELEASE",87766,6
"FIN","RELEASE","CODE OK",-133199,1
"NEW","CHANGE DIAGN","FIN",14020,13
"CHANGE DIAGN","FIN","RELEASE",-534502,6
"FIN","RELEASE","CODE OK",-14735,1
"NEW","FIN","RELEASE",-50245,6
"FIN","RELEASE","CODE OK",533245,1
"NEW","CHANGE DIAGN","FIN",-489672,13
"CHANGE DIAGN","FIN","RELEASE",573068,6
"FIN","RELEASE","CODE OK",549557,1
"NEW","FIN","RELEASE",-16642,6
"FIN","RELEASE","CODE OK",-26917,1
"NEW","CHANGE DIAGN","FIN",-562230,13
"CHANGE DIAGN","FIN","RELEASE",-544154,6
"FIN","RELEASE","CODE OK",40320,1
"NEW","CHANGE DIAGN","FIN",367764,13
"CHANGE DIAGN","FIN","RELEASE",48958,6
"FIN","RELEASE","CODE OK",46077,1
"NEW","CHANGE DIAGN","FIN",-43200,13
"CHANGE DIAGN","FIN","RELEASE",-57600,6
"FIN","RELEASE","CODE OK",-30240,1
"NEW","CHANGE DIAGN","FIN",368046,13
"CHANGE DIAGN","FIN","RELEASE",28799,6
"FIN","RELEASE","CODE OK",-10081,1
"NEW","FIN","RELEASE",-10080,6
"FIN","RELEASE","CODE OK",1440,1
"NEW","CHANGE DIAGN","FIN",54721,13
"CHANGE DIAGN","FIN","RELEASE",-2879,6
"FIN","RELEASE","CODE OK",366320,1
"NEW","FIN","RELEASE",172915,1
"NEW","CHANGE DIAGN","CHANGE DIAGN",12960,8
"CHANGE DIAGN","CHANGE DIAGN","FIN",-48960,13
"CHANGE DIAGN","FIN","RELEASE",51840,6
"FIN","RELEASE","CODE OK",-13256,1
"NEW","CHANGE DIAGN","FIN",-318337,13
"CHANGE DIAGN","FIN","RELEASE",-328470,6
"FIN","RELEASE","CODE OK",-353464,1
"NEW","CHANGE DIAGN","FIN",-3698,13
"CHANGE DIAGN","FIN","RELEASE",-6786,6
"FIN","RELEASE","CODE OK",-394669,1
"RELEASE","CODE OK","BILLED",2773,16
"CODE OK","BILLED","STORNO",-2871,12
"BILLED","STORNO","REJECT",-2870,1
"NEW","FIN","RELEASE",177389,6
"FIN","RELEASE","CODE OK",-44210,1
"NEW","CHANGE DIAGN","FIN",154966,13
"CHANGE DIAGN","FIN","RELEASE",-185288,6
"FIN","RELEASE","CODE OK",-121471,1
"NEW","CHANGE DIAGN","FIN",65692,13
"CHANGE DIAGN","FIN","RELEASE",357738,6
"FIN","RELEASE","CODE OK",-32723,1
"NEW","FIN","RELEASE",98610,6
"FIN","RELEASE","CODE OK",98678,1
"NEW","CHANGE DIAGN","FIN",-146707,13
"CHANGE DIAGN","FIN","RELEASE",-214681,6
"FIN","RELEASE","CODE OK",150626,1
"NEW","FIN","RELEASE",-104608,6
"FIN","RELEASE","CODE OK",-108997,1
"NEW","CHANGE DIAGN","FIN",290365,13
"CHANGE DIAGN","FIN","RELEASE",-130419,6
"FIN","RELEASE","CODE OK",-139415,14
"RELEASE","CODE OK","REOPEN",-419821,8
"CODE OK","REOPEN","FIN",1380,13
"REOPEN","FIN","RELEASE",391977,6
"FIN","RELEASE","CODE OK",391348,1
"NEW","CHANGE DIAGN","CHANGE DIAGN",-391550,8
"CHANGE DIAGN","CHANGE DIAGN","FIN",5199,13
"CHANGE DIAGN","FIN","RELEASE",9749,6
"FIN","RELEASE","CODE OK",233584,1
"NEW","CHANGE DIAGN","FIN",97564,13
"CHANGE DIAGN","FIN","RELEASE",100379,6
"FIN","RELEASE","CODE OK",323454,1
"NEW","CHANGE DIAGN","FIN",152097,13
"CHANGE DIAGN","FIN","RELEASE",26808,6
"FIN","RELEASE","CODE OK",26690,1
"NEW","CHANGE DIAGN","FIN",370954,13
"CHANGE DIAGN","FIN","RELEASE",35338,6
"FIN","RELEASE","CODE OK",-375315,1
"NEW","CHANGE DIAGN","FIN",139469,13
"CHANGE DIAGN","FIN","RELEASE",85013,6
"FIN","RELEASE","CODE OK",-140457,1
"NEW","CHANGE DIAGN","FIN",113265,13
"CHANGE DIAGN","FIN","RELEASE",109235,6
"FIN","RELEASE","CODE OK",42609,1
"NEW","FIN","RELEASE",-172151,6
"FIN","RELEASE","CODE OK",-172232,1
"NEW","CHANGE DIAGN","FIN",96380,13
"CHANGE DIAGN","FIN","RELEASE",-112895,6
"FIN","RELEASE","CODE OK",-117416,1
"NEW","FIN","RELEASE",-98684,6
"FIN","RELEASE","CODE OK",-102901,1
"NEW","CHANGE DIAGN","FIN",108112,13
"CHANGE DIAGN","FIN","RELEASE",-128703,6
"FIN","RELEASE","CODE OK",-137707,1
"NEW","CHANGE DIAGN","FIN",-198359,13
"CHANGE DIAGN","FIN","RELEASE",-263175,6
"FIN","RELEASE","CODE OK",-136608,14
"RELEASE","CODE OK","REOPEN",133448,7
"NEW","CHANGE DIAGN","FIN",-96588,13
"CHANGE DIAGN","FIN","RELEASE",134676,6
"FIN","RELEASE","CODE OK",139324,1
"NEW","CHANGE DIAGN","FIN",-185566,13
"CHANGE DIAGN","FIN","RELEASE",132111,6
"FIN","RELEASE","CODE OK",139039,1
"NEW","CHANGE DIAGN","FIN",-84477,8
"CHANGE DIAGN","FIN","FIN",133225,13
"FIN","FIN","RELEASE",139272,6
"FIN","RELEASE","CODE OK",86329,1
"NEW","FIN","RELEASE",133355,6
"FIN","RELEASE","CODE OK",139399,1
"NEW","CHANGE DIAGN","FIN",128937,13
"CHANGE DIAGN","FIN","RELEASE",139115,6
"FIN","RELEASE","CODE OK",90600,1
"NEW","CHANGE DIAGN","FIN",491718,13
"CHANGE DIAGN","FIN","RELEASE",491770,6
"FIN","RELEASE","CODE OK",466760,1
"NEW","CHANGE DIAGN","CHANGE DIAGN",-459499,2
"CHANGE DIAGN","CHANGE DIAGN","CHANGE DIAGN",43772,8
"CHANGE DIAGN","CHANGE DIAGN","FIN",56952,13
"CHANGE DIAGN","FIN","RELEASE",-48416,6
"FIN","RELEASE","CODE OK",-48501,1
"NEW","CHANGE DIAGN","FIN",120745,13
"CHANGE DIAGN","FIN","RELEASE",0,6
"FIN","RELEASE","CODE OK",0,1
"NEW","FIN","RELEASE",75666,6
"FIN","RELEASE","CODE OK",367234,1
"NEW","CHANGE DIAGN","FIN",-482416,13
"CHANGE DIAGN","FIN","RELEASE",-483033,6
"FIN","RELEASE","CODE OK",-534991,1
"NEW","CHANGE DIAGN","FIN",17710,13
"CHANGE DIAGN","FIN","RELEASE",-342455,6
"FIN","RELEASE","CODE OK",163188,13
"RELEASE","CODE OK","RELEASE",152378,6
"CODE OK","RELEASE","CODE OK",517982,10
"RELEASE","CODE OK","MANUAL",19285,13
"CODE OK","MANUAL","RELEASE",-473125,6
"MANUAL","RELEASE","CODE OK",-479055,14
"RELEASE","CODE OK","REOPEN",-440465,8
"CODE OK","REOPEN","FIN",51150,13
"REOPEN","FIN","RELEASE",55547,6
"FIN","RELEASE","CODE OK",45401,1
"NEW","FIN","RELEASE",0,6
"FIN","RELEASE","CODE OK",-214320,14
"RELEASE","CODE OK","REOPEN",-214320,7
"NEW","CHANGE DIAGN","FIN",155434,13
"CHANGE DIAGN","FIN","RELEASE",-127514,6
"FIN","RELEASE","CODE OK",-137693,1
"NEW","CHANGE DIAGN","FIN",-41224,13
"CHANGE DIAGN","FIN","RELEASE",40854,6
"FIN","RELEASE","CODE OK",132076,1
"NEW","NEW","NEW",-120828,11
"NEW","NEW","NEW",-70270,11
"NEW","NEW","NEW",130911,11
"NEW","NEW","NEW",138086,11
"NEW","NEW","NEW",87564,11
"NEW","NEW","NEW",-172398,11
"NEW","NEW","NEW",-179573,11
"NEW","NEW","NEW",-126560,11
"NEW","NEW","NEW",133229,11
"NEW","NEW","NEW",139272,11
"NEW","NEW","NEW",86216,11
"NEW","NEW","NEW",-141690,11
"NEW","NEW","NEW",-133750,11
"NEW","NEW","NEW",-94918,11
"NEW","NEW","NEW",133053,11
"NEW","NEW","NEW",125117,8
"NEW","NEW","FIN",86387,13
"NEW","FIN","RELEASE",86908,6
"FIN","RELEASE","CODE OK",80861,1
"NEW","CHANGE DIAGN","FIN",-56972,13
"CHANGE DIAGN","FIN","RELEASE",134643,6
"FIN","RELEASE","CODE OK",89217,1
"NEW","CHANGE DIAGN","FIN",1040,13
"CHANGE DIAGN","FIN","RELEASE",8289,5
"FIN","RELEASE","CODE NOK",210980,5
"RELEASE","CODE NOK","CODE NOK",-9414,14
"CODE NOK","CODE NOK","REOPEN",-16699,8
"CODE NOK","REOPEN","FIN",-168406,13
"REOPEN","FIN","RELEASE",51118,6
"FIN","RELEASE","CODE OK",55516,1
"NEW","CHANGE DIAGN","FIN",1983,13
"CHANGE DIAGN","FIN","RELEASE",221875,6
"FIN","RELEASE","CODE OK",-64008,1
"NEW","CHANGE DIAGN","FIN",144676,13
"CHANGE DIAGN","FIN","RELEASE",93727,6
"FIN","RELEASE","CODE OK",-143141,1
"NEW","CHANGE DIAGN","FIN",-168675,13
"CHANGE DIAGN","FIN","RELEASE",-177678,6
"FIN","RELEASE","CODE OK",-240698,1
"NEW","CHANGE DIAGN","FIN",54679,13
"CHANGE DIAGN","FIN","RELEASE",-68216,6
"FIN","RELEASE","CODE OK",-76887,1
"NEW","CHANGE DIAGN","FIN",90605,13
"CHANGE DIAGN","FIN","RELEASE",-121430,6
"FIN","RELEASE","CODE OK",-122046,1
"NEW","CHANGE DIAGN","FIN",87729,13
"CHANGE DIAGN","FIN","RELEASE",-136320,6
"FIN","RELEASE","CODE OK",-143495,1
"NEW","CHANGE DIAGN","FIN",154065,13
"CHANGE DIAGN","FIN","RELEASE",-75826,6
"FIN","RELEASE","CODE OK",-80135,1
"NEW","CHANGE DIAGN","FIN",21014,13
"CHANGE DIAGN","FIN","RELEASE",20650,6
"FIN","RELEASE","CODE OK",-125150,1
"NEW","CHANGE DIAGN","CHANGE DIAGN",194206,8
"CHANGE DIAGN","CHANGE DIAGN","FIN",-67219,14
"CHANGE DIAGN","FIN","REOPEN",-67304,8
"FIN","REOPEN","FIN",-208556,14
"REOPEN","FIN","REOPEN",52902,8
"FIN","REOPEN","FIN",52982,13
"REOPEN","FIN","RELEASE",9013,6
"FIN","RELEASE","CODE OK",8957,1
"NEW","FIN","RELEASE",133044,6
"FIN","RELEASE","CODE OK",46020,1
"NEW","CHANGE DIAGN","FIN",-86286,13
"CHANGE DIAGN","FIN","RELEASE",128179,6
"FIN","RELEASE","CODE OK",138572,1
"NEW","CHANGE DIAGN","FIN",-89447,13
"CHANGE DIAGN","FIN","RELEASE",143498,6
"FIN","RELEASE","CODE OK",143537,1
"NEW","CHANGE DIAGN","FIN",-46037,13
"CHANGE DIAGN","FIN","RELEASE",143447,6
"FIN","RELEASE","CODE OK",143487,1
"NEW","CHANGE DIAGN","FIN",-232828,13
"CHANGE DIAGN","FIN","RELEASE",16769,6
"FIN","RELEASE","CODE OK",210358,1
"NEW","FIN","RELEASE",16769,6
"FIN","RELEASE","CODE OK",192586,1
"NEW","CHANGE DIAGN","FIN",8556,13
"CHANGE DIAGN","FIN","RELEASE",-538127,6
"FIN","RELEASE","CODE OK",-543601,1
"NEW","FIN","RELEASE",1876,6
"FIN","RELEASE","CODE OK",-282066,1
"RELEASE","CODE OK","BILLED",-282065,16
"CODE OK","BILLED","STORNO",-180014,12
"BILLED","STORNO","REJECT",104228,14
"STORNO","REJECT","REOPEN",111478,7
"NEW","CHANGE DIAGN","FIN",-118031,13
"CHANGE DIAGN","FIN","RELEASE",64162,6
"FIN","RELEASE","CODE OK",71429,1
"NEW","CHANGE DIAGN","FIN",-24947,13
"CHANGE DIAGN","FIN","RELEASE",133086,6
"FIN","RELEASE","CODE OK",139135,1
"NEW","FIN","RELEASE",-409010,6
"FIN","RELEASE","CODE OK",11660,13
"RELEASE","CODE OK","RELEASE",-79798,6
"CODE OK","RELEASE","CODE OK",131738,1
"NEW","NEW","NEW",-144541,11
"NEW","NEW","NEW",-149657,11
"NEW","NEW","NEW",-197983,11
"NEW","NEW","NEW",33526,11
"NEW","NEW","NEW",41255,11
"NEW","NEW","NEW",36814,11
"NEW","NEW","NEW",110770,11
"NEW","NEW","NEW",102248,11
"NEW","NEW","NEW",74978,11
"NEW","NEW","NEW",74852,11
"NEW","NEW","NEW",-88020,11
"NEW","NEW","NEW",-87906,11
"NEW","NEW","NEW",-34445,11
"NEW","NEW","NEW",128375,11
"NEW","NEW","NEW",138615,11
"NEW","NEW","NEW",90606,11
"NEW","NEW","NEW",-180974,11
"NEW","NEW","NEW",-191368,11
"NEW","NEW","NEW",-218931,7
"NEW","FIN","RELEASE",-48571,6
"FIN","RELEASE","CODE OK",-22989,1
"NEW","FIN","RELEASE",-30104,6
"FIN","RELEASE","CODE OK",749,1
"NEW","FIN","RELEASE",-132810,6
"FIN","RELEASE","CODE OK",378087,1
"NEW","CHANGE DIAGN","FIN",-517591,13
"CHANGE DIAGN","FIN","RELEASE",634,6
"FIN","RELEASE","CODE OK",-9226,1
"NEW","CHANGE DIAGN","CHANGE DIAGN",-478585,8
"CHANGE DIAGN","CHANGE DIAGN","FIN",42861,13
"CHANGE DIAGN","FIN","RELEASE",25586,6
"FIN","RELEASE","CODE OK",530567,1
"NEW","CHANGE DIAGN","FIN",5113,13
"CHANGE DIAGN","FIN","RELEASE",-490104,6
"FIN","RELEASE","CODE OK",-62673,1
"NEW","CHANGE DIAGN","FIN",183304,13
"CHANGE DIAGN","FIN","RELEASE",38794,6
"FIN","RELEASE","CODE OK",-135618,1
"RELEASE","CODE OK","BILLED",388368,16
"CODE OK","BILLED","STORNO",353400,12
"BILLED","STORNO","REJECT",533119,14
"STORNO","REJECT","REOPEN",13076,8
"REJECT","REOPEN","FIN",-536100,13
"REOPEN","FIN","RELEASE",-481799,6
"FIN","RELEASE","CODE OK",-532819,1
"NEW","CHANGE DIAGN","FIN",38692,13
"CHANGE DIAGN","FIN","RELEASE",-220959,6
"FIN","RELEASE","CODE OK",-224000,1
"NEW","FIN","RELEASE",86406,6
"FIN","RELEASE","CODE OK",-102937,13
"RELEASE","CODE OK","RELEASE",-108983,6
"CODE OK","RELEASE","CODE OK",-59025,1
"NEW","FIN","RELEASE",-152513,6
"FIN","RELEASE","CODE OK",-159642,1
"NEW","FIN","RELEASE",-77816,6
"FIN","RELEASE","CODE OK",113194,1
"NEW","CHANGE DIAGN","FIN",-116181,13
"CHANGE DIAGN","FIN","RELEASE",-273140,6
"FIN","RELEASE","CODE OK",145109,1
"NEW","CHANGE DIAGN","FIN",-46395,13
"CHANGE DIAGN","FIN","RELEASE",-113485,6
"FIN","RELEASE","CODE OK",136638,1
"NEW","CHANGE DIAGN","FIN",-219520,13
"CHANGE DIAGN","FIN","RELEASE",363803,6
"FIN","RELEASE","CODE OK",353054,1
"NEW","FIN","RELEASE",176217,5
"FIN","RELEASE","CODE NOK",168896,15
"NEW","FIN","RELEASE",-305379,6
"FIN","RELEASE","CODE OK",-322462,1
"NEW","CHANGE DIAGN","FIN",244739,13
"CHANGE DIAGN","FIN","RELEASE",204150,6
"FIN","RELEASE","CODE OK",530367,1
"NEW","CHANGE DIAGN","FIN",19855,13
"CHANGE DIAGN","FIN","RELEASE",-511563,6
"FIN","RELEASE","CODE OK",-471746,1
"NEW","FIN","RELEASE",12960,6
"FIN","RELEASE","CODE OK",-41760,1
"NEW","FIN","RELEASE",-34560,6
"FIN","RELEASE","CODE OK",38880,1
"NEW","CHANGE DIAGN","FIN",-8640,13
"CHANGE DIAGN","FIN","RELEASE",25920,14
"FIN","RELEASE","REOPEN",-44640,8
"RELEASE","REOPEN","FIN",-25920,13
"REOPEN","FIN","RELEASE",-31680,6
"FIN","RELEASE","CODE OK",40320,14
"RELEASE","CODE OK","REOPEN",36000,8
"CODE OK","REOPEN","FIN",7200,13
"REOPEN","FIN","RELEASE",5760,6
"FIN","RELEASE","CODE OK",4320,14
"RELEASE","CODE OK","REOPEN",-14400,8
"CODE OK","REOPEN","FIN",-4320,13
"REOPEN","FIN","RELEASE",-18720,6
"FIN","RELEASE","CODE OK",41760,1
"NEW","CHANGE DIAGN","FIN",-11520,13
"CHANGE DIAGN","FIN","RELEASE",-2880,6
"FIN","RELEASE","CODE OK",-36000,1
"NEW","CHANGE DIAGN","FIN",-12956,13
"CHANGE DIAGN","FIN","RELEASE",-7435,6
"FIN","RELEASE","CODE OK",231996,1
"NEW","CHANGE DIAGN","FIN",-194801,13
"CHANGE DIAGN","FIN","RELEASE",-117527,6
"FIN","RELEASE","CODE OK",-123448,1
"NEW","FIN","RELEASE",409758,6
"FIN","RELEASE","CODE OK",178556,1
"NEW","CHANGE DIAGN","FIN",-10305,13
"CHANGE DIAGN","FIN","RELEASE",-18012,6
"FIN","RELEASE","CODE OK",530427,1
"NEW","FIN","RELEASE",-403186,6
"FIN","RELEASE","CODE OK",143438,1
"NEW","CHANGE DIAGN","FIN",-224926,13
"CHANGE DIAGN","FIN","RELEASE",18071,6
"FIN","RELEASE","CODE OK",28173,1
"NEW","FIN","RELEASE",91255,6
"FIN","RELEASE","CODE OK",74843,1
"NEW","CHANGE DIAGN","FIN",55520,13
"CHANGE DIAGN","FIN","RELEASE",118865,6
"FIN","RELEASE","CODE OK",118770,1
"NEW","FIN","RELEASE",141906,6
"FIN","RELEASE","CODE OK",83353,1
"NEW","CHANGE DIAGN","FIN",66796,13
"CHANGE DIAGN","FIN","RELEASE",72676,6
"FIN","RELEASE","CODE OK",151254,1
"RELEASE","CODE OK","BILLED",-59924,16
"CODE OK","BILLED","STORNO",-65933,1
"BILLED","STORNO","BILLED",-79245,16
"STORNO","BILLED","STORNO",132042,1
"NEW","CHANGE DIAGN","FIN",248668,13
"CHANGE DIAGN","FIN","RELEASE",168782,6
"FIN","RELEASE","CODE OK",397352,1
"NEW","CHANGE DIAGN","FIN",-249373,13
"CHANGE DIAGN","FIN","RELEASE",131949,6
"FIN","RELEASE","CODE OK",137993,1
"NEW","FIN","RELEASE",-175685,6
"FIN","RELEASE","CODE OK",-87406,1
"NEW","CHANGE DIAGN","FIN",96273,13
"CHANGE DIAGN","FIN","RELEASE",-121413,6
"FIN","RELEASE","CODE OK",-127316,1
"NEW","CHANGE DIAGN","FIN",130666,13
"CHANGE DIAGN","FIN","RELEASE",137801,6
"FIN","RELEASE","CODE OK",86475,1
"NEW","CHANGE DIAGN","FIN",98868,13
"CHANGE DIAGN","FIN","RELEASE",107920,6
"FIN","RELEASE","CODE OK",118000,1
"NEW","CHANGE DIAGN","FIN",130642,13
"CHANGE DIAGN","FIN","RELEASE",137789,6
"FIN","RELEASE","CODE OK",85999,1
"NEW","FIN","RELEASE",137736,6
"FIN","RELEASE","CODE OK",82062,1
"NEW","FIN","RELEASE",152158,6
"FIN","RELEASE","CODE OK",156445,1
"NEW","CHANGE DIAGN","FIN",-115099,13
"CHANGE DIAGN","FIN","RELEASE",65718,6
"FIN","RELEASE","CODE OK",70096,1
"NEW","CHANGE DIAGN","FIN",1145,13
"CHANGE DIAGN","FIN","RELEASE",105395,6
"FIN","RELEASE","CODE OK",-133452,1
"NEW","FIN","RELEASE",170830,6
"FIN","RELEASE","CODE OK",-57358,1
"NEW","CHANGE DIAGN","FIN",147735,13
"CHANGE DIAGN","FIN","RELEASE",45399,6
"FIN","RELEASE","CODE OK",2108,1
"NEW","CHANGE DIAGN","CHANGE END",170330,7
"NEW","FIN","RELEASE",22539,6
"FIN","RELEASE","CODE OK",28194,1
"NEW","CHANGE DIAGN","FIN",-90821,13
"CHANGE DIAGN","FIN","RELEASE",128937,6
"FIN","RELEASE","CODE OK",137932,1
"NEW","CHANGE DIAGN","FIN",-114021,13
"CHANGE DIAGN","FIN","RELEASE",128910,6
"FIN","RELEASE","CODE OK",137905,14
"RELEASE","CODE OK","REOPEN",108248,7
"NEW","CHANGE DIAGN","FIN",479199,13
"CHANGE DIAGN","FIN","RELEASE",46332,6
"FIN","RELEASE","CODE OK",-463617,1
"NEW","CHANGE DIAGN","FIN",83585,13
"CHANGE DIAGN","FIN","RELEASE",-211440,6
"FIN","RELEASE","CODE OK",-219835,1
"NEW","CHANGE DIAGN","FIN",87698,13
"CHANGE DIAGN","FIN","RELEASE",-136548,6
"FIN","RELEASE","CODE OK",-143677,1
"NEW","FIN","RELEASE",407606,6
"FIN","RELEASE","CODE OK",-38243,1
"NEW","CHANGE DIAGN","FIN",137870,13
"CHANGE DIAGN","FIN","RELEASE",287356,6
"FIN","RELEASE","CODE OK",-81387,1
"RELEASE","CODE OK","BILLED",-87430,16
"CODE OK","BILLED","STORNO",-233978,1
"BILLED","STORNO","BILLED",134632,16
"STORNO","BILLED","STORNO",137785,1
"NEW","CHANGE DIAGN","FIN",34492,13
"CHANGE DIAGN","FIN","RELEASE",34528,6
"FIN","RELEASE","CODE OK",34548,1
"RELEASE","CODE OK","BILLED",31417,16
"CODE OK","BILLED","STORNO",35963,1
"BILLED","STORNO","BILLED",37393,16
"STORNO","BILLED","STORNO",9946,1
"NEW","FIN","RELEASE",137783,6
"FIN","RELEASE","CODE OK",86337,1
"NEW","CHANGE DIAGN","FIN",95908,13
"CHANGE DIAGN","FIN","RELEASE",100757,6
"FIN","RELEASE","CODE OK",120781,1
"NEW","CHANGE DIAGN","FIN",52718,13
"CHANGE DIAGN","FIN","RELEASE",55726,6
"FIN","RELEASE","CODE OK",40996,1
"NEW","FIN","RELEASE",130532,6
"FIN","RELEASE","CODE OK",137641,1
"NEW","CHANGE DIAGN","FIN",-80420,13
"CHANGE DIAGN","FIN","RELEASE",131914,6
"FIN","RELEASE","CODE OK",137679,1
"NEW","FIN","RELEASE",-220006,6
"FIN","RELEASE","CODE OK",133209,13
"RELEASE","CODE OK","RELEASE",137862,6
"CODE OK","RELEASE","CODE OK",285967,1
"NEW","FIN","RELEASE",-57598,6
"FIN","RELEASE","CODE OK",64118,1
"NEW","CHANGE DIAGN","FIN",-89960,13
"CHANGE DIAGN","FIN","RELEASE",-66935,6
"FIN","RELEASE","CODE OK",-79309,1
"RELEASE","CODE OK","BILLED",114344,16
"CODE OK","BILLED","STORNO",88582,12
"BILLED","STORNO","REJECT",103535,14
"STORNO","REJECT","REOPEN",-143104,7
"NEW","FIN","RELEASE",134689,6
"FIN","RELEASE","CODE OK",86543,1
"NEW","CHANGE DIAGN","FIN",108076,13
"CHANGE DIAGN","FIN","RELEASE",-79845,6
"FIN","RELEASE","CODE OK",-88538,1
"NEW","CHANGE DIAGN","FIN",86497,13
"CHANGE DIAGN","FIN","RELEASE",-174863,6
"FIN","RELEASE","CODE OK",-90366,1
"RELEASE","CODE OK","BILLED",-126604,16
"CODE OK","BILLED","STORNO",134512,1
"BILLED","STORNO","BILLED",47131,16
"STORNO","BILLED","STORNO",83367,1
"NEW","FIN","RELEASE",131656,6
"FIN","RELEASE","CODE OK",137693,1
"NEW","CHANGE DIAGN","FIN",-200257,13
"CHANGE DIAGN","FIN","RELEASE",32115,6
"FIN","RELEASE","CODE OK",7094,1
"NEW","CHANGE DIAGN","FIN",92663,13
"CHANGE DIAGN","FIN","RELEASE",0,6
"FIN","RELEASE","CODE OK",6348,1
"NEW","CHANGE DIAGN","FIN",108930,13
"CHANGE DIAGN","FIN","RELEASE",119260,6
"FIN","RELEASE","CODE OK",176218,1
"NEW","CHANGE DIAGN","FIN",108248,13
"CHANGE DIAGN","FIN","RELEASE",-140229,6
