"Activity1","Activity2","Activity3","Duration","Next_Activity","V6"
"NEW","FIN","RELEASE","CODE OK",266853,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",137388,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",200549,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",78261,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",1483,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",166148,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",156411,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-57969,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-186381,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-131195,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-52320,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-3131,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-55194,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-123082,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-127161,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-90918,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",200321,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-42610,"BILLED"
"NEW","FIN","RELEASE","CODE OK",200319,"BILLED"
"NEW","FIN","RELEASE","CODE NOK",71168,"SET STATUS"
"NEW","CHANGE DIAGN","FIN","RELEASE",-65895,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",137348,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-336561,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",200427,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-174507,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",209336,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-123164,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",199467,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-107331,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",139043,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",199339,"BILLED"
"NEW","CHANGE DIAGN","CHANGE DIAGN","FIN",70103,"RELEASE"
"CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE",199209,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-99538,"REOPEN"
"FIN","RELEASE","CODE OK","REOPEN",-99952,"FIN"
"RELEASE","CODE OK","REOPEN","FIN",22816,"RELEASE"
"CODE OK","REOPEN","FIN","RELEASE",-106243,"CODE OK"
"REOPEN","FIN","RELEASE","CODE OK",193684,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-203725,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-162202,"BILLED"
"NEW","FIN","RELEASE","CODE OK",77051,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",227124,"CODE NOK"
"CHANGE DIAGN","FIN","RELEASE","CODE NOK",220295,"CODE OK"
"FIN","RELEASE","CODE NOK","CODE OK",31177,"BILLED"
"RELEASE","CODE NOK","CODE OK","BILLED",338261,"CODE OK"
"NEW","CHANGE DIAGN","FIN","RELEASE",48799,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",41858,"BILLED"
"NEW","FIN","RELEASE","CODE OK",137763,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-89502,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-170559,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-105562,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-105790,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-132817,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-84013,"REOPEN"
"FIN","RELEASE","CODE OK","REOPEN",-183371,"FIN"
"RELEASE","CODE OK","REOPEN","FIN",336987,"RELEASE"
"CODE OK","REOPEN","FIN","RELEASE",536532,"CODE OK"
"REOPEN","FIN","RELEASE","CODE OK",492975,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-15316,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",2266,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",38880,"BILLED"
"NEW","CHANGE DIAGN","CHANGE DIAGN","FIN",138524,"RELEASE"
"CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE",136655,"CODE NOK"
"CHANGE DIAGN","FIN","RELEASE","CODE NOK",137970,"CODE OK"
"FIN","RELEASE","CODE NOK","CODE OK",218445,"BILLED"
"NEW","FIN","RELEASE","CODE OK",11591,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-476622,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-403656,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",62781,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",25715,"BILLED"
"FIN","RELEASE","CODE OK","BILLED",192667,"STORNO"
"RELEASE","CODE OK","BILLED","STORNO",218233,"REJECT"
"CODE OK","BILLED","STORNO","REJECT",-105703,"REOPEN"
"BILLED","STORNO","REJECT","REOPEN",-106103,"DELETE"
"NEW","FIN","RELEASE","CODE OK",-166308,"BILLED"
"NEW","FIN","RELEASE","CODE OK",199485,"BILLED"
"NEW","FIN","RELEASE","CODE OK",142092,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-110609,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",540930,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-576031,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",37890,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",541496,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",532135,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-518380,"REOPEN"
"FIN","RELEASE","CODE OK","REOPEN",-504365,"FIN"
"RELEASE","CODE OK","REOPEN","FIN",-512774,"RELEASE"
"CODE OK","REOPEN","FIN","RELEASE",-516030,"CODE OK"
"REOPEN","FIN","RELEASE","CODE OK",19683,"BILLED"
"FIN","RELEASE","CODE OK","BILLED",5275,"STORNO"
"RELEASE","CODE OK","BILLED","STORNO",-10223,"REJECT"
"CODE OK","BILLED","STORNO","REJECT",509725,"REOPEN"
"BILLED","STORNO","REJECT","REOPEN",504854,"DELETE"
"NEW","CHANGE DIAGN","FIN","RELEASE",-563552,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-532602,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-1440,"BILLED"
"NEW","FIN","RELEASE","CODE OK",2880,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-23040,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",11520,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",531872,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",541392,"BILLED"
"FIN","RELEASE","CODE OK","BILLED",-525723,"STORNO"
"RELEASE","CODE OK","BILLED","STORNO",1351,"REJECT"
"CODE OK","BILLED","STORNO","REJECT",-8741,"RELEASE"
"BILLED","STORNO","REJECT","RELEASE",-12501,"CODE OK"
"STORNO","REJECT","RELEASE","CODE OK",541386,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",77951,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",539885,"BILLED"
"NEW","FIN","RELEASE","CODE OK",267287,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",497201,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-25260,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",28395,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",540022,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",0,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",0,"BILLED"
"FIN","RELEASE","CODE OK","BILLED",0,"STORNO"
"RELEASE","CODE OK","BILLED","STORNO",0,"REJECT"
"CODE OK","BILLED","STORNO","REJECT",0,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",0,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",0,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",0,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",0,"BILLED"
"NEW","FIN","RELEASE","CODE OK",0,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",0,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",0,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",0,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",0,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",1,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",0,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",0,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",0,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",0,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",0,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",0,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",0,"BILLED"
"NEW","FIN","RELEASE","CODE OK",0,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",0,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",0,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",0,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",0,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",0,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",0,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",0,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",0,"BILLED"
"FIN","RELEASE","CODE OK","BILLED",0,"STORNO"
"RELEASE","CODE OK","BILLED","STORNO",0,"BILLED"
"CODE OK","BILLED","STORNO","BILLED",0,"STORNO"
"BILLED","STORNO","BILLED","STORNO",0,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",1,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",1,"BILLED"
"NEW","FIN","RELEASE","CODE OK",0,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",0,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",0,"REOPEN"
"FIN","RELEASE","CODE OK","REOPEN",0,"FIN"
"RELEASE","CODE OK","REOPEN","FIN",0,"RELEASE"
"CODE OK","REOPEN","FIN","RELEASE",0,"CODE OK"
"REOPEN","FIN","RELEASE","CODE OK",0,"BILLED"
"NEW","FIN","RELEASE","CODE OK",0,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",0,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",0,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",0,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",0,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",0,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",0,"BILLED"
"NEW","FIN","RELEASE","CODE NOK",0,"SET STATUS"
"NEW","CHANGE DIAGN","FIN","RELEASE",0,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",0,"BILLED"
"FIN","RELEASE","CODE OK","BILLED",0,"STORNO"
"RELEASE","CODE OK","BILLED","STORNO",0,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",1,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",0,"SET STATUS"
"NEW","CHANGE DIAGN","FIN","RELEASE",0,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",53313,"BILLED"
"NEW","NEW","JOIN-PAT","JOIN-PAT",0,"JOIN-PAT"
"NEW","JOIN-PAT","JOIN-PAT","JOIN-PAT",0,"JOIN-PAT"
"JOIN-PAT","JOIN-PAT","JOIN-PAT","JOIN-PAT",0,"DELETE"
"JOIN-PAT","JOIN-PAT","JOIN-PAT","DELETE",0,"DELETE"
"NEW","FIN","RELEASE","CODE OK",0,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",0,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",0,"BILLED"
"NEW","FIN","RELEASE","CODE OK",1,"BILLED"
"NEW","FIN","RELEASE","CODE OK",0,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",0,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",0,"BILLED"
"NEW","FIN","RELEASE","CODE OK",0,"BILLED"
"NEW","FIN","RELEASE","CODE OK",0,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",40,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-4708,"BILLED"
"NEW","FIN","RELEASE","CODE OK",168995,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",199194,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-96777,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",2572,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-10445,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-31306,"BILLED"
"NEW","FIN","RELEASE","CODE NOK",-46310,"DELETE"
"NEW","CHANGE DIAGN","FIN","RELEASE",-83232,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",48603,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-170786,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-40546,"RELEASE"
"FIN","RELEASE","CODE OK","RELEASE",-301441,"CODE OK"
"RELEASE","CODE OK","RELEASE","CODE OK",71341,"RELEASE"
"CODE OK","RELEASE","CODE OK","RELEASE",217902,"CODE OK"
"RELEASE","CODE OK","RELEASE","CODE OK",-111315,"BILLED"
"NEW","FIN","RELEASE","CODE OK",158978,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",137615,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",199139,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",199387,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-138729,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",199183,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-107131,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-126072,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-1595,"REOPEN"
"FIN","RELEASE","CODE OK","REOPEN",-61790,"FIN"
"RELEASE","CODE OK","REOPEN","FIN",139031,"RELEASE"
"CODE OK","REOPEN","FIN","RELEASE",199328,"CODE OK"
"REOPEN","FIN","RELEASE","CODE OK",-128709,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-3567,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-252657,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-251662,"BILLED"
"NEW","FIN","RELEASE","CODE NOK",-49358,"DELETE"
"NEW","CHANGE DIAGN","FIN","RELEASE",53373,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",181968,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",36868,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",28032,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-211911,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-245454,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-67566,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",76201,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",5760,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",31836,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",31857,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-122666,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-123068,"BILLED"
"NEW","FIN","RELEASE","CODE OK",199160,"BILLED"
"FIN","RELEASE","CODE OK","BILLED",-135866,"STORNO"
"RELEASE","CODE OK","BILLED","STORNO",-136140,"REJECT"
"CODE OK","BILLED","STORNO","REJECT",-143331,"REOPEN"
"BILLED","STORNO","REJECT","REOPEN",-203694,"FIN"
"STORNO","REJECT","REOPEN","FIN",177063,"RELEASE"
"REJECT","REOPEN","FIN","RELEASE",2880,"CODE OK"
"REOPEN","FIN","RELEASE","CODE OK",359707,"REOPEN"
"FIN","RELEASE","CODE OK","REOPEN",359775,"FIN"
"RELEASE","CODE OK","REOPEN","FIN",188153,"RELEASE"
"CODE OK","REOPEN","FIN","RELEASE",364243,"CODE OK"
"REOPEN","FIN","RELEASE","CODE OK",14339,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",8643,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",5397,"BILLED"
"NEW","NEW","CHANGE DIAGN","JOIN-PAT",28852,"JOIN-PAT"
"NEW","CHANGE DIAGN","JOIN-PAT","JOIN-PAT",28852,"JOIN-PAT"
"CHANGE DIAGN","JOIN-PAT","JOIN-PAT","JOIN-PAT",-19359,"JOIN-PAT"
"JOIN-PAT","JOIN-PAT","JOIN-PAT","JOIN-PAT",-19398,"FIN"
"JOIN-PAT","JOIN-PAT","JOIN-PAT","FIN",-20191,"FIN"
"JOIN-PAT","JOIN-PAT","FIN","FIN",-20191,"RELEASE"
"JOIN-PAT","FIN","FIN","RELEASE",106034,"RELEASE"
"FIN","FIN","RELEASE","RELEASE",28824,"CODE OK"
"FIN","RELEASE","RELEASE","CODE OK",28824,"REOPEN"
"RELEASE","RELEASE","CODE OK","REOPEN",51681,"REOPEN"
"RELEASE","CODE OK","REOPEN","REOPEN",41335,"DELETE"
"CODE OK","REOPEN","REOPEN","DELETE",119059,"DELETE"
"NEW","FIN","RELEASE","CODE OK",-172560,"BILLED"
"NEW","FIN","RELEASE","CODE OK",35362,"BILLED"
"NEW","FIN","RELEASE","CODE OK",168613,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",137640,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",400187,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",339500,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-138705,"BILLED"
"NEW","FIN","RELEASE","CODE OK",323408,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",361,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",4402,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-278113,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-143907,"REOPEN"
"FIN","RELEASE","CODE OK","REOPEN",-151785,"FIN"
"RELEASE","CODE OK","REOPEN","FIN",137552,"RELEASE"
"CODE OK","REOPEN","FIN","RELEASE",199143,"CODE OK"
"REOPEN","FIN","RELEASE","CODE OK",-142843,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",199022,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-167249,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",400083,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-138410,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",199090,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-136963,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",199073,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-85367,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-452025,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",8648,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",8642,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-174721,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-177726,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",123414,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",137665,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-55584,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",196974,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",8365,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",6316,"BILLED"
"FIN","RELEASE","CODE OK","BILLED",166526,"STORNO"
"RELEASE","CODE OK","BILLED","STORNO",-47254,"BILLED"
"CODE OK","BILLED","STORNO","BILLED",169494,"STORNO"
"BILLED","STORNO","BILLED","STORNO",198016,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",197931,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-130088,"BILLED"
"NEW","FIN","RELEASE","CODE OK",138144,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",72419,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-98237,"BILLED"
"NEW","FIN","RELEASE","CODE OK",217905,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",137569,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",139704,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-194375,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",400066,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-31792,"REOPEN"
"FIN","RELEASE","CODE OK","REOPEN",-32188,"FIN"
"RELEASE","CODE OK","REOPEN","FIN",28738,"RELEASE"
"CODE OK","REOPEN","FIN","RELEASE",-282859,"CODE OK"
"REOPEN","FIN","RELEASE","CODE OK",69689,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-106038,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",137515,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-214011,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",69470,"BILLED"
"NEW","FIN","RELEASE","CODE OK",23656,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",21597,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",21628,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",225650,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",175891,"BILLED"
"NEW","CHANGE DIAGN","CHANGE DIAGN","FIN",137472,"RELEASE"
"CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE",198951,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-172077,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",216048,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-104333,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-133137,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",197938,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-169118,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-86722,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-62419,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-179568,"BILLED"
"NEW","CHANGE DIAGN","CHANGE DIAGN","FIN",-121709,"RELEASE"
"CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE",-121902,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-84075,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",148625,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",149727,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",46792,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",176577,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-135890,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-120953,"BILLED"
"NEW","FIN","RELEASE","CODE OK",23156,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",195811,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-97172,"BILLED"
"FIN","RELEASE","CODE OK","BILLED",-97742,"STORNO"
"RELEASE","CODE OK","BILLED","STORNO",27231,"BILLED"
"CODE OK","BILLED","STORNO","BILLED",-49361,"STORNO"
"BILLED","STORNO","BILLED","STORNO",137729,"BILLED"
"NEW","FIN","RELEASE","CODE OK",137655,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-184039,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",8476,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-45900,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-46479,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-92697,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-92730,"BILLED"
"NEW","FIN","RELEASE","CODE OK",197707,"BILLED"
"NEW","FIN","RELEASE","CODE OK",138655,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",376243,"REOPEN"
"CHANGE DIAGN","FIN","RELEASE","REOPEN",540114,"FIN"
"FIN","RELEASE","REOPEN","FIN",-555809,"RELEASE"
"RELEASE","REOPEN","FIN","RELEASE",-36339,"CODE OK"
"REOPEN","FIN","RELEASE","CODE OK",-42013,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",73001,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",2,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-106090,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",1,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-475161,"BILLED"
"NEW","CHANGE DIAGN","CHANGE DIAGN","CHANGE DIAGN",-51840,"FIN"
"CHANGE DIAGN","CHANGE DIAGN","CHANGE DIAGN","FIN",566394,"RELEASE"
"CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE",43739,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",584027,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",191701,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-335149,"REOPEN"
"FIN","RELEASE","CODE OK","REOPEN",265275,"FIN"
"RELEASE","CODE OK","REOPEN","FIN",102981,"RELEASE"
"CODE OK","REOPEN","FIN","RELEASE",90897,"CODE OK"
"REOPEN","FIN","RELEASE","CODE OK",148985,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-518342,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-493859,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",25613,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-307,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-8956,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-571691,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",35452,"REOPEN"
"FIN","RELEASE","CODE OK","REOPEN",-18201,"FIN"
"RELEASE","CODE OK","REOPEN","FIN",11520,"RELEASE"
"CODE OK","REOPEN","FIN","RELEASE",27381,"CODE OK"
